ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.675145019489543,0.7532713267491095,0.5617548700497279,0.6235157774376425,0.0,0.0010881508776250603,0.7350264239577217,0.5986115130349763,0.0
1e-09,3.0,200,0.6725517070931453,0.7534510921049155,0.5586165861167309,0.6232422729846929,0.0035714285714285713,0.0005506607929515418,0.7331980996103133,0.601716082230345,0.0
1e-09,3.0,300,0.6739316618259716,0.7548730339478957,0.559353026366883,0.623562951328676,0.0,0.0,0.7346394063951315,0.6020532300162674,0.0
1e-09,5.0,100,0.6808247209186962,0.8326892907395422,0.5632757034549674,0.7067298267077808,0.01488526570048309,0.12827429921618216,0.7441146639619922,0.602755621236939,0.0
1e-09,5.0,200,0.6851447966303799,0.8352295815851507,0.5697407904671875,0.7096637251234745,0.011475672215108836,0.1302216823917114,0.7411386323600064,0.5976843566236897,0.0
1e-09,5.0,300,0.68556951549724,0.83707432551434,0.5677167725105825,0.7103033040710409,0.00735930735930736,0.1267946658462649,0.741325468424705,0.5968414871588837,0.0
1e-09,7.0,100,0.6875808052102842,0.9207506705655839,0.5644510661624448,0.8190771919077136,0.06244705443649107,0.3318649874052515,0.7444482997918112,0.5919107007897687,0.044444444444444446
1e-09,7.0,200,0.690296844423422,0.9271898860842662,0.5659123654402172,0.8211760538306113,0.05094825871109934,0.325566562086454,0.7491192014092778,0.5921916572780374,0.044444444444444446
1e-09,7.0,300,0.6880864480504648,0.9255453766479869,0.5728248041335509,0.8260287916641262,0.051338962215320916,0.3251560460247414,0.7469305503656649,0.590913305256415,0.044444444444444446
1e-09,9.0,100,0.690665953844022,0.9774681355450752,0.5671802015562335,0.9245938103749783,0.0836901289306594,0.5596643156101768,0.7423263759141622,0.5855891798037238,0.044117647058823525
