auc,prauc,AP,auc_01,f1,accuracy,precision,recall,encoding,weight,pep_col,rank_col,key,evalset
0.6288756159001251,0.05810661194537543,0.06052833675150639,0.5114797084760254,0.0335195530726257,0.9443550981022837,0.057692307692307696,0.023622047244094488,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5806045403235921,0.05043905822798665,0.05201303300127508,0.5011849201581654,0.010416666666666664,0.9388871019620457,0.017241379310344827,0.007462686567164179,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5890174469697916,0.06337313876368615,0.06569981459859736,0.4996734899485541,0.0425531914893617,0.927629462849791,0.06944444444444445,0.03067484662576687,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.620434627641731,0.05789395361378619,0.060579947671592006,0.5176840935574427,0.04371584699453552,0.9437118044387263,0.07272727272727272,0.03125,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.57537148106122,0.04832421482740863,0.05016928324753708,0.5114153108496643,0.03243243243243243,0.9424252171116114,0.04918032786885246,0.024193548387096774,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5903375737141168,0.06418471913374518,0.06687897936373999,0.5163920305445047,0.04878048780487805,0.9372788678031522,0.09259259259259259,0.033112582781456956,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.6119195270138666,0.044854419810896065,0.046667779030990966,0.5014865968192681,0.011049723756906077,0.9424252171116114,0.013333333333333334,0.009433962264150943,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5948856595696744,0.06013496370176537,0.06303006111696216,0.4998381387737678,0.05555555555555555,0.9343840463171438,0.09090909090909091,0.04,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5908346688826893,0.05569509357778614,0.057698639219152976,0.5104925235270166,0.03141361256544503,0.9404953361209392,0.05454545454545454,0.022058823529411766,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5717570219371466,0.04119913811120811,0.042630725013423784,0.48886802719830064,0.011976047904191616,0.9469282727565134,0.018867924528301886,0.008771929824561403,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5803343047635022,0.05083776630414645,0.0524300252200412,0.5042326731580713,0.010416666666666666,0.9388871019620457,0.015625,0.0078125,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.6398910582908885,0.06236047633448003,0.06659036618672513,0.5193602639876431,0.05769230769230769,0.9369572209713735,0.08,0.045112781954887216,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.6382332439678284,0.05573005563214674,0.058087051130972706,0.5091660787357133,0.010362694300518135,0.938565455130267,0.014705882352941176,0.008,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.6125287267281225,0.05532769565775131,0.057652974071191965,0.5080570742838194,0.027522935779816512,0.9318108716629141,0.03409090909090909,0.023076923076923078,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5805256205971151,0.04794688532744519,0.050327926015572795,0.4970655709846572,0.04830917874396135,0.9366355741395948,0.06329113924050633,0.0390625,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5765386296773278,0.046197664753243266,0.04811316209203298,0.5118005500891423,0.031088082901554407,0.9398520424573817,0.0375,0.02654867256637168,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5914067079643214,0.056416144342029274,0.06014443552008483,0.523425954261277,0.052631578947368425,0.9421035702798327,0.07936507936507936,0.03937007874015748,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.591774527257855,0.06459247663806378,0.06876475900599653,0.5311654008716639,0.06829268292682927,0.938565455130267,0.1076923076923077,0.05,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5744452659346276,0.05681431792208774,0.058786258836221,0.504761520439012,0.029411764705882356,0.936313927307816,0.05357142857142857,0.02027027027027027,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5808338590353845,0.05402865009051274,0.05596945723078814,0.5035385533283229,0.019801980198019802,0.936313927307816,0.03278688524590164,0.014184397163120567,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.6078836424957842,0.05935475747803583,0.06145530355502772,0.5069241048095224,0.03846153846153846,0.9356706336442586,0.0625,0.027777777777777776,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
0.5500071253346362,0.04653864335864859,0.048670955969414856,0.5018868743299909,0.0309278350515464,0.9395303956256031,0.04838709677419355,0.022727272727272728,onehot,Inverted Mask,Peptide,None,aa_props,PRIME_AC
