,auc,auc_01,precision,accuracy,AP,id,input_type,evalset,weight,key
0,0.6791444454487932,0.5581288029800616,0.024478694469628286,0.5529024289831206,0.11186037643190569,0_16532143381525,icore_mut,PRIME,None,only_rank
0,0.5917591598042726,0.5136023014930811,0.019626168224299065,0.5623713462330177,0.020797117686207747,1_1061590028695,icore_mut,PRIME,None,only_rank
0,0.61624895572264,0.523740428766151,0.024478694469628286,0.5537258130918074,0.027490041836060942,2_16082104450083,icore_mut,PRIME,None,only_rank
0,0.6063696919233972,0.5146507215397176,0.016409266409266408,0.5763688760806917,0.05306406538784337,3_1898856662319,icore_mut,PRIME,None,only_rank
0,0.6651097756887012,0.5229666210507526,0.017823639774859287,0.5652531906134212,0.021665169949684357,4_1146994453171,icore_mut,PRIME,None,only_rank
0,0.6219228389249105,0.5355708138219314,0.019065776930409915,0.5718402634829148,0.055727912845095186,5_2254965532663,icore_mut,PRIME,None,only_rank
0,0.6113856068743286,0.5007945929987877,0.021739130434782608,0.5689584191025113,0.021604833402303323,6_2271883347992,icore_mut,PRIME,None,only_rank
0,0.6338699702755002,0.5222923248632684,0.02621359223300971,0.5808974886784685,0.05276554202175604,7_175845577506,icore_mut,PRIME,None,only_rank
0,0.6328886834400934,0.5379081991447614,0.022535211267605635,0.5656648826677645,0.029600385884810683,8_451452224794,icore_mut,PRIME,None,only_rank
0,0.6087883291614518,0.5414910084974639,0.018050541516245487,0.5471387402223137,0.025198603238930625,9_3821099938527,icore_mut,PRIME,None,only_rank
0,0.6166125994139807,0.5304355488973586,0.02406159769008662,0.5763688760806917,0.03051754051345146,10_12891390041228,icore_mut,PRIME,None,only_rank
0,0.6566548265775177,0.5305080852290917,0.024738344433872503,0.5738987237546316,0.030981979357914673,11_1945706651878,icore_mut,PRIME,None,only_rank
0,0.6196748378651753,0.5327604726100966,0.016252390057361378,0.5718402634829148,0.020827920370831966,12_18671088834190,icore_mut,PRIME,None,only_rank
0,0.5492814690996889,0.4954460255667725,0.019029495718363463,0.5689584191025113,0.01847909201376756,13_338600066572,icore_mut,PRIME,None,only_rank
0,0.5759743841157006,0.5355360456540297,0.025023169601482854,0.5611362700699877,0.050787980236626847,14_13681724462309,icore_mut,PRIME,None,only_rank
0,0.652757214891106,0.5569991925420246,0.02462121212121212,0.5706051873198847,0.10971781138737739,15_22041118849310,icore_mut,PRIME,None,only_rank
0,0.6391776698537968,0.5011622241215423,0.022620169651272386,0.5693701111568547,0.0225233226408037,16_21691120037158,icore_mut,PRIME,None,only_rank
0,0.6345823466592376,0.5917735207219889,0.018867924528301886,0.5652531906134212,0.052132243860881805,17_21911059983259,icore_mut,PRIME,None,only_rank
0,0.6457984512348263,0.5829514661496773,0.0242152466367713,0.5467270481679704,0.12029405895676554,18_2752194438898,icore_mut,PRIME,None,only_rank
0,0.603987417892497,0.5344522839154505,0.016205910390848427,0.5710168793742281,0.020494086776675427,19_16292155558009,icore_mut,PRIME,None,only_rank
0,0.6524364847980009,0.551032934272374,0.020522388059701493,0.5652531906134212,0.0639208755235967,20_2712193370635,icore_mut,PRIME,None,only_rank
0,0.7034406736781236,0.5385487463644474,0.014692378328741965,0.5553725813091808,0.06521473222750895,21_12311935582940,icore_mut,PRIME,None,only_rank
0,0.6202480794206344,0.5325615100949892,0.02490421455938697,0.5759571840263483,0.03099426003065995,22_2180913337874,icore_mut,PRIME,None,only_rank
0,0.6038540630931936,0.5484830896730211,0.0195712954333644,0.5603128859613009,0.05688095406369367,23_5951579928957,icore_mut,PRIME,None,only_rank
0,0.7580373904881101,0.5872238873152844,0.024714828897338403,0.5751337999176616,0.04946272533130953,24_4181715503758,icore_mut,PRIME,None,only_rank
0,0.6387214137214137,0.4993525914578546,0.016289592760180997,0.5500205846027172,0.015780595902810748,25_1156655561772,icore_mut,PRIME,None,only_rank
