auc,prauc,AP,auc_01,f1,accuracy,precision,recall,trainset,model
0.6445624172384736,0.3009600472821128,0.3042447531036521,0.5431500383316543,0.017167381974248927,0.8005226480836237,0.25,0.008888888888888889,cedar_hp_rank_low,XGB
0.6025432900432901,0.27537969491624725,0.278788639670452,0.5358627900921134,0.034188034188034185,0.8031358885017421,0.4,0.017857142857142856,cedar_hp_rank_low,XGB
0.6272074861042707,0.29595818134664664,0.2983314589948872,0.5292300969831177,0.02510460251046025,0.7970383275261324,0.5,0.012875536480686695,cedar_hp_rank_low,XGB
0.6528706559024289,0.31361933448231183,0.3172410711229626,0.5585686436388257,0.026905829596412554,0.8109756097560976,0.5,0.013824884792626729,cedar_hp_rank_low,XGB
0.6152327002229463,0.2556363879592012,0.2586121152028129,0.538407468250458,0.009999999999999998,0.8275261324041812,0.25,0.00510204081632653,cedar_hp_rank_low,XGB
0.6208048990374032,0.2845660275093903,0.2885939622985994,0.5405098529509348,0.027272727272727275,0.813588850174216,0.5,0.014018691588785047,cedar_hp_rank_low,XGB
0.6016081528396799,0.23529295294613783,0.2380589258713263,0.525140162941563,0.0,0.8205574912891986,0.0,0.0,cedar_hp_rank_low,XGB
0.6767112935087795,0.35616875483690014,0.35842438270539534,0.5579004766288722,0.04291845493562232,0.8057491289198606,0.8333333333333334,0.022026431718061675,cedar_hp_rank_low,XGB
0.6096020654257622,0.2694664549011061,0.27206262333136505,0.5386152599357524,0.037209302325581395,0.8196864111498258,0.4444444444444444,0.019417475728155338,cedar_hp_rank_low,XGB
0.6501591888714734,0.3026036196006143,0.30549245193143315,0.5487491750536215,0.017316017316017316,0.8022648083623694,0.18181818181818182,0.00909090909090909,cedar_hp_rank_low,XGB
0.639900610667996,0.27608095225525237,0.2788866601086069,0.5392987703555999,0.028169014084507043,0.8196864111498258,0.3333333333333333,0.014705882352941176,cedar_hp_rank_low,XGB
0.6597373407514917,0.3070960962523764,0.31114857411560737,0.5573347677369525,0.01834862385321101,0.813588850174216,0.3333333333333333,0.009433962264150943,cedar_hp_rank_low,XGB
0.6329720242581193,0.28541023029966595,0.2881428899515963,0.5453878719519288,0.04484304932735426,0.8144599303135889,0.4166666666666667,0.023696682464454975,cedar_hp_rank_low,XGB
0.6401149351324327,0.29784622970935737,0.30068920204923205,0.5455688179250663,0.009009009009009009,0.8083623693379791,0.2,0.004608294930875576,cedar_hp_rank_low,XGB
0.6356897840387672,0.30766506778499236,0.31002789801216485,0.5438728486786419,0.0182648401826484,0.8127177700348432,1.0,0.009216589861751152,cedar_hp_rank_low,XGB
0.6123072895008393,0.26954213399300797,0.2724285673265075,0.541228975347701,0.028169014084507046,0.8196864111498258,0.5,0.014492753623188406,cedar_hp_rank_low,XGB
0.6486162646876933,0.3032956635731579,0.30607960532261846,0.534586262734759,0.026200873362445417,0.8057491289198606,0.6,0.013392857142857142,cedar_hp_rank_low,XGB
0.6467087396218606,0.2826581442147736,0.28563779147164575,0.5367963658985812,0.028169014084507043,0.8196864111498258,0.375,0.014634146341463415,cedar_hp_rank_low,XGB
0.6198395729598646,0.2969348871992431,0.2997499723100776,0.5471836905469488,0.03404255319148936,0.8022648083623694,0.5,0.01762114537444934,cedar_hp_rank_low,XGB
0.6175490848250282,0.2682280620699513,0.2721645793097327,0.5338824807543775,0.02777777777777778,0.8170731707317073,0.75,0.014150943396226415,cedar_hp_rank_low,XGB
0.630481477809722,0.30492022734444574,0.3085741245976023,0.5384242304979262,0.025316455696202535,0.7987804878048781,0.5,0.012987012987012988,cedar_hp_rank_low,XGB
0.6379724406566212,0.29910798657625437,0.301998052383435,0.5421111463072448,0.034934497816593885,0.8074912891986062,0.5,0.01809954751131222,cedar_hp_rank_low,XGB
0.6108607815057283,0.27101840148306433,0.27391496373535973,0.5390160651218882,0.01886792452830189,0.818815331010453,0.5,0.009615384615384616,cedar_hp_rank_low,XGB
