auc,prauc,AP,auc_01,f1,accuracy,precision,recall,trainset,model
0.463366221259179,0.1736247660591128,0.17399759523320502,0.4838311379749482,0.20195930670685758,0.6310104529616725,0.17527795945062133,0.23822222222222222,virus,XGB
0.44092976963512676,0.16879025952856316,0.16926404396996417,0.4900491895322722,0.1841541755888651,0.6017421602787456,0.15338882282996433,0.23035714285714284,virus,XGB
0.46740158071249327,0.19198029307627956,0.19259007159963237,0.5012833568477586,0.2107466852756455,0.6059233449477351,0.17754262198706644,0.2592274678111588,virus,XGB
0.4713730342973959,0.17290281519558748,0.1733604070715597,0.49401187386886536,0.1924108853967037,0.6329268292682927,0.1646981627296588,0.2313364055299539,virus,XGB
0.48479774052478136,0.16971581148308112,0.17041460435299688,0.5025419942413055,0.20781249999999998,0.6466898954703832,0.16835443037974684,0.2714285714285714,virus,XGB
0.4727834257239488,0.17429914464822094,0.17482048112714194,0.4959132556922134,0.19908814589665652,0.6327526132404181,0.1677336747759283,0.24485981308411214,virus,XGB
0.4655289180806422,0.16053902671817283,0.16102193228253392,0.4948317701753014,0.17744479495268137,0.6365853658536585,0.14792899408284024,0.22167487684729065,virus,XGB
0.47187399254784346,0.19666982509841913,0.19740002418603309,0.5078973675777068,0.21510978786751025,0.6325783972125436,0.18621134020618557,0.25462555066079295,virus,XGB
0.45293395584688645,0.16150638502983733,0.16213809399696213,0.4942809686388998,0.1831888428194497,0.6224738675958188,0.14972273567467653,0.23592233009708738,virus,XGB
0.4441860305642633,0.17180623096186465,0.17239763573681405,0.4969012951658142,0.18696461824953445,0.6196864111498258,0.1583596214511041,0.22818181818181818,virus,XGB
0.485737578929877,0.1734321017884094,0.17420880504602382,0.49742002063983487,0.20968356843309188,0.6388501742160279,0.1715533374922021,0.2696078431372549,virus,XGB
0.4367337929366231,0.15847169934393363,0.15883439057492535,0.48657156316044103,0.1861152141802068,0.61602787456446,0.1529126213592233,0.23773584905660378,virus,XGB
0.4864011896392136,0.17892219209854443,0.1794203883218375,0.5002540974376489,0.22173435784851814,0.6294425087108014,0.18057210965435042,0.28720379146919434,virus,XGB
0.4810292683651195,0.18058510334151842,0.18110378283782835,0.4973913075193441,0.2175976633807959,0.6266550522648083,0.18016928657799275,0.2746543778801843,virus,XGB
0.5187372974899395,0.1946477677529168,0.19523585663731086,0.5014642388862562,0.227760736196319,0.6491289198606272,0.19500984898227183,0.27373271889400924,virus,XGB
0.46581650726177826,0.16341400276604073,0.16385402863440934,0.4886684591779469,0.21393961982855011,0.6325783972125436,0.1741504854368932,0.2772946859903382,virus,XGB
0.4955750425170068,0.18852811460189103,0.18905575707708264,0.49635757413013054,0.21048632218844987,0.6379790940766551,0.1832010582010582,0.24732142857142858,virus,XGB
0.46259907405012546,0.16178921536566668,0.1622778143341022,0.49507063056342454,0.18196017180788754,0.6350174216027874,0.15169270833333334,0.22731707317073171,virus,XGB
0.4751877627746129,0.18476708452934076,0.18530213959604813,0.496676084448375,0.20111731843575423,0.6263066202090593,0.17419354838709677,0.23788546255506607,virus,XGB
0.4871425979680697,0.17691888688372115,0.17742065201402624,0.4933128357904922,0.21942179392142327,0.6331010452961673,0.1807081807081807,0.2792452830188679,virus,XGB
0.4958454776775388,0.1991253809469784,0.19966057629357764,0.4998560145779339,0.23812898653437278,0.6254355400696864,0.20155968806238753,0.2909090909090909,virus,XGB
0.48396423045195175,0.19599407649341094,0.19671729407423938,0.5048407529095257,0.23752792256142963,0.643205574912892,0.2017710309930424,0.28868778280542984,virus,XGB
0.4615944148936171,0.16512635564190797,0.16585868919480878,0.49505340683952104,0.18695154521175122,0.6287456445993032,0.1549652118912081,0.23557692307692307,virus,XGB
0.4805639913232104,0.19231119421410986,0.1929519510192309,0.500238945125469,0.22750929368029738,0.6379790940766551,0.19615384615384615,0.27079646017699116,virus,XGB
0.4847428617587942,0.1912084326808258,0.1918813185623478,0.4965303837447847,0.20897718910963942,0.6254355400696864,0.18054672600127145,0.2480349344978166,virus,XGB
0.4659241755776564,0.17344868917605097,0.17388327216262386,0.49582098520060713,0.20295342673229838,0.6332752613240418,0.17113665389527458,0.24930232558139534,virus,XGB
0.43995829749524334,0.15684490902410725,0.1573892295799233,0.4981833346365366,0.1657754010695187,0.6195121951219512,0.13537117903930132,0.21379310344827587,virus,XGB
0.4696981799395963,0.17317887991479633,0.17369679876965644,0.4955920738900183,0.1840680587780356,0.632404181184669,0.15803452855245684,0.22037037037037038,virus,XGB
0.510548771446474,0.21723529161314842,0.2178788099934279,0.5129232054292341,0.23679280629449231,0.6451219512195122,0.20599739243807041,0.27841409691629954,virus,XGB
0.49173962198515764,0.1925176860975975,0.19313745403990223,0.5024594766136119,0.21261950286806883,0.6412891986062718,0.18595317725752508,0.24821428571428572,virus,XGB
0.4656383958053993,0.17359766780100686,0.1740574917629161,0.4967037457960778,0.19726027397260273,0.6426829268292683,0.1696969696969697,0.23551401869158878,virus,XGB
0.4642351097178683,0.1713434799938014,0.17180894818520231,0.4879227850189738,0.1972043823196071,0.6297909407665505,0.1687136393018746,0.23727272727272727,virus,XGB
0.4623890692640693,0.17778774527740743,0.17825430090220917,0.4936153289066823,0.2103692651995524,0.6311846689895471,0.1806534272901986,0.2517857142857143,virus,XGB
0.46920659787602614,0.17660968599387772,0.17727861433216752,0.4991422972585489,0.21423220973782772,0.6344947735191637,0.1781931464174455,0.26854460093896715,virus,XGB
0.45353552296691313,0.17614997460376614,0.1767356604204871,0.4968755302387589,0.19110621095185595,0.6165505226480836,0.16189290161892902,0.23318385650224216,virus,XGB
0.4693291725112558,0.16172859879918355,0.16211285829599836,0.4919594214776172,0.2071621101270697,0.6412891986062718,0.16896984924623115,0.2676616915422886,virus,XGB
0.447443983882068,0.15403175553871745,0.15479947264228838,0.4914301941081012,0.1555197421434327,0.6348432055749129,0.13067027758970887,0.19203980099502488,virus,XGB
0.4699073057154154,0.18047460066607035,0.18090501577801923,0.49638391839840634,0.22164758034724788,0.6329268292682927,0.18726591760299627,0.27149321266968324,virus,XGB
0.47491568314726207,0.17093312031745264,0.1716084248732166,0.5054427935868379,0.2048624950179354,0.6524390243902439,0.16919025674786042,0.2595959595959596,virus,XGB
0.4567614986293025,0.16526343016221878,0.16586126890322023,0.49507777973718947,0.18711180124223603,0.635191637630662,0.15792922673656618,0.22952380952380952,virus,XGB
0.4641002018993494,0.16946311786476798,0.16988415690669806,0.49155263092300405,0.2081647664582567,0.6249128919860627,0.1721411192214112,0.26325581395348835,virus,XGB
0.509844263496117,0.18512437717734043,0.18583591001324393,0.5048838421173819,0.23907358983937246,0.6451219512195122,0.19196160767846432,0.31683168316831684,virus,XGB
0.4678245042912104,0.1765530161882588,0.1770394923998241,0.49756338167110586,0.19939804364183597,0.6292682926829268,0.1690051020408163,0.24311926605504589,virus,XGB
0.507151487322246,0.1970279319173857,0.19757507310756522,0.49727523762843084,0.23585598824393827,0.6376306620209059,0.20226843100189035,0.2828193832599119,virus,XGB
0.45882212065161454,0.16006551602667052,0.16070774259457904,0.4878502798108437,0.16737698566447115,0.625609756097561,0.140625,0.20669856459330144,virus,XGB
0.4587429796555662,0.18535388306126915,0.18587412019469607,0.4936785930242399,0.21079319087287215,0.6203832752613241,0.18348045397225726,0.24765957446808512,virus,XGB
0.46230391839028295,0.1506547897144589,0.15127683824938798,0.4900211691128879,0.15836012861736332,0.635191637630662,0.1297760210803689,0.20309278350515464,virus,XGB
0.4795939332748509,0.15653360721625437,0.15712295355772682,0.4975133349536511,0.19962192816635163,0.6311846689895471,0.15529411764705883,0.27936507936507937,virus,XGB
0.46268429467348426,0.16909215889732193,0.16958395772544926,0.4894262439647853,0.18709920784609582,0.6245644599303136,0.1583652618135377,0.22857142857142856,virus,XGB
0.4752700158760586,0.1883175591861586,0.1889048970135221,0.5015150421580885,0.2297496318114875,0.6355400696864112,0.19247378161628625,0.28493150684931506,virus,XGB
0.47464210526315787,0.15884261624056223,0.15936572355383039,0.49167184308458545,0.17937574081390753,0.6381533101045296,0.1473069435431538,0.2292929292929293,virus,XGB
0.4704274545639151,0.16948133859945222,0.16988638666159378,0.4937535736997077,0.21715610510046368,0.6470383275261324,0.18270481144343304,0.26761904761904765,virus,XGB
0.47627908992416035,0.18734449768446482,0.18791723911100877,0.5013281126253698,0.21658819268381022,0.6231707317073171,0.18276283618581907,0.2657777777777778,virus,XGB
0.5248402863542169,0.19474460945427907,0.19552271011663885,0.5122949871486536,0.22894838960031044,0.6538327526132404,0.18825781748564135,0.29207920792079206,virus,XGB
0.4650445357341677,0.17693118318979034,0.17737920545797642,0.4923987160614569,0.18644702358667167,0.6214285714285714,0.16158338741077222,0.22035398230088496,virus,XGB
0.4993471207585875,0.1864052388366827,0.18705897452319398,0.511283074451876,0.222397476340694,0.6564459930313589,0.18479685452162517,0.27920792079207923,virus,XGB
0.49704819245705945,0.17320284851915327,0.1737168392378877,0.49403503284758143,0.22222222222222218,0.651219512195122,0.18345093008338678,0.2817733990147783,virus,XGB
0.4798679467084639,0.18021498539855163,0.1807015036345404,0.4944326431281967,0.2108672184238935,0.6179442508710802,0.17450863609291245,0.26636363636363636,virus,XGB
0.488532462524467,0.18577392158092587,0.18635946783126375,0.49375525533510445,0.22918999626726388,0.6402439024390244,0.19504447268106734,0.27782805429864255,virus,XGB
0.500984552223558,0.20511402030329132,0.20581492392138456,0.5050709391284732,0.24781341107871718,0.640418118466899,0.21263289555972484,0.29694323144104806,virus,XGB
0.47660350649542155,0.18137776793051835,0.1819740005433832,0.4958698189063499,0.2247521116415718,0.6322299651567944,0.18796068796068796,0.27945205479452057,virus,XGB
0.41753719568839676,0.15772959063642947,0.1581303180162832,0.4886362137113579,0.16403310759969902,0.6128919860627178,0.13947536788227768,0.19908675799086759,virus,XGB
