learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.8078070619249849,0.9613036859304812,0.630670921978533,0.8672339701874502,0.40201522151583724,0.7134862148143291,0.8307709644423641,0.6721131376837579,0.46511627906976744
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.8078070619249849,0.9613036859304812,0.630670921978533,0.8672339701874502,0.40201522151583724,0.7134862148143291,0.8307709644423641,0.6721131376837579,0.46511627906976744
0.12,3.0,200,1e-09,0.00021544346900318823,0.8080072541631207,0.9616802967415623,0.6292829748371895,0.8679925911736208,0.40201522151583724,0.7149937315760831,0.8304346318545102,0.6717317295944392,0.4666666666666667
0.12,3.0,200,1e-09,0.1,0.8134133457084043,0.960593885164807,0.6306225142094608,0.8649123478159677,0.4041576485746688,0.7113383015137484,0.8301884502695861,0.6725711923747582,0.4575835475578407
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.8078070619249849,0.9613036859304812,0.630670921978533,0.8672339701874502,0.40201522151583724,0.7134862148143291,0.8307709644423641,0.6721131376837579,0.46511627906976744
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.8078070619249849,0.9613036859304812,0.630670921978533,0.8672339701874502,0.40201522151583724,0.7134862148143291,0.8307709644423641,0.6721131376837579,0.46511627906976744
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.8080072541631207,0.9616802967415623,0.6292829748371895,0.8679925911736208,0.40201522151583724,0.7149937315760831,0.8304346318545102,0.6717317295944392,0.4666666666666667
0.12,3.0,200,4.6415888336127725e-07,0.1,0.8134133457084043,0.960593885164807,0.6306225142094608,0.8649123478159677,0.4041576485746688,0.7113383015137484,0.8301884502695861,0.6725711923747582,0.4575835475578407
0.12,3.0,200,0.00021544346900318823,1e-09,0.8080081692921217,0.9616805795469922,0.6292877913056154,0.8679940796232517,0.40201522151583724,0.7149937315760831,0.8304346318545102,0.6717317295944392,0.4666666666666667
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.8080081692921217,0.9616806270741539,0.6292877913056154,0.8679940796232517,0.40201522151583724,0.7149937315760831,0.8304346318545102,0.6717317295944392,0.4666666666666667
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.809936000823416,0.9620434303566443,0.6288534521935663,0.8680226613380861,0.4035038718062407,0.7147221082520693,0.8285900036407136,0.6695363519319962,0.4681933842239186
0.12,3.0,200,0.00021544346900318823,0.1,0.8134374054520923,0.9605862105602037,0.6306182898949825,0.8649019344090408,0.4041576485746688,0.7113383015137484,0.8301364400755882,0.6725529431838816,0.4575835475578407
0.12,3.0,200,0.1,1e-09,0.809683090407413,0.9613921029954826,0.6255806376433792,0.8671207174558923,0.39299722676221893,0.714442523714609,0.8307432256722317,0.6718667736069253,0.4732824427480916
0.12,3.0,200,0.1,4.6415888336127725e-07,0.809683090407413,0.9613921029954826,0.6255806376433792,0.8671207174558923,0.39299722676221893,0.714442523714609,0.8307432256722317,0.6718667736069253,0.4732824427480916
0.12,3.0,200,0.1,0.00021544346900318823,0.8096847403709246,0.9613902398101987,0.6255898515921067,0.8671158383312005,0.39299722676221893,0.714442523714609,0.8307432256722317,0.6718667736069253,0.4732824427480916
0.12,3.0,200,0.1,0.1,0.8152571043699575,0.9612248223981608,0.632061466231462,0.8647725579083204,0.40220715394391565,0.7123159289933755,0.8274700507966227,0.6693064121269523,0.4607594936708861
0.12,3.0,250,1e-09,1e-09,0.8095727329662404,0.9729427085578122,0.6268103980823989,0.8977250941523948,0.4198741714073615,0.757241559607048,0.829422166744682,0.6725438185884434,0.4658227848101266
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.8095727329662404,0.9729427085578122,0.6268103980823989,0.8977250941523948,0.4198741714073615,0.757241559607048,0.829422166744682,0.6725438185884434,0.4658227848101266
0.12,3.0,250,1e-09,0.00021544346900318823,0.8094710507599991,0.9730475840700104,0.6255177865112473,0.8979990462154243,0.42046849674607584,0.7582180438002013,0.8302681992337164,0.6713722205341721,0.467005076142132
0.12,3.0,250,1e-09,0.1,0.8140371824865957,0.9715720700001226,0.6345489400513533,0.895544357173484,0.4107343756071192,0.7598574785462344,0.8301399074218547,0.6700564538719764,0.46192893401015234
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.8095727329662404,0.9729427085578122,0.6268103980823989,0.8977250941523948,0.4198741714073615,0.757241559607048,0.829422166744682,0.6725438185884434,0.4658227848101266
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.8095727329662404,0.9729427085578122,0.6268103980823989,0.8977250941523948,0.4198741714073615,0.757241559607048,0.829422166744682,0.6725438185884434,0.4658227848101266
0.12,3.0,250,4.6415888336127725e-07,0.00021544346900318823,0.8094710507599991,0.9730475840700104,0.6255177865112473,0.8979990462154243,0.42046849674607584,0.7582180438002013,0.8302681992337164,0.6713722205341721,0.467005076142132
0.12,3.0,250,4.6415888336127725e-07,0.1,0.8140371824865957,0.9715720700001226,0.6345489400513533,0.895544357173484,0.4107343756071192,0.7598574785462344,0.8301399074218547,0.6700564538719764,0.46192893401015234
0.12,3.0,250,0.00021544346900318823,1e-09,0.8098265408849719,0.9730871978381208,0.6263105992989679,0.8976831990515689,0.4206542696874598,0.7572167582132654,0.8296024687505418,0.6722500066153317,0.45959595959595967
0.12,3.0,250,0.00021544346900318823,4.6415888336127725e-07,0.8098265408849719,0.9730871508466994,0.6263105992989679,0.8976829517282993,0.4206542696874598,0.7572167582132654,0.8296024687505418,0.6722500066153317,0.45959595959595967
0.12,3.0,250,0.00021544346900318823,0.00021544346900318823,0.8110201898852633,0.9732273285167381,0.6257930662477373,0.8978062193350789,0.4205263284429864,0.7576516926957336,0.8300948319203897,0.6697553422225142,0.46192893401015234
0.12,3.0,250,0.00021544346900318823,0.1,0.8139850380779614,0.9716405238029606,0.6339288106859468,0.8952437585186785,0.4084762782608606,0.7577789084883897,0.8296094034430749,0.6696403723199923,0.4580152671755725
0.12,3.0,250,0.1,1e-09,0.8100019386266093,0.9728025187588323,0.626724486704459,0.8983515174375114,0.40802135730090217,0.7617326674157913,0.8320434805221822,0.6695363519319962,0.4681933842239186
0.12,3.0,250,0.1,4.6415888336127725e-07,0.8100019386266093,0.9728025187588323,0.626724486704459,0.8983515174375114,0.40802135730090217,0.7617326674157913,0.8320434805221822,0.6695363519319962,0.4681933842239186
0.12,3.0,250,0.1,0.00021544346900318823,0.8100044848702841,0.9728009284293905,0.626724486704459,0.8983461294472141,0.40802135730090217,0.7617326674157913,0.8320434805221822,0.6695363519319962,0.4681933842239186
0.12,3.0,250,0.1,0.1,0.8153834893440635,0.9726431789383463,0.6334594184349489,0.8962640725715434,0.42199119372279825,0.7563829551586622,0.8291135729269602,0.668948727985773,0.46969696969696967
0.12,7.0,200,1e-09,1e-09,0.7929789846745967,1.0,0.605826011829223,1.0,0.389506998110297,1.0,0.8167212773703646,0.6650689500054292,0.4752475247524752
0.12,7.0,200,1e-09,4.6415888336127725e-07,0.7929789846745967,1.0,0.605826011829223,1.0,0.389506998110297,1.0,0.8167212773703646,0.6650689500054292,0.4752475247524752
0.12,7.0,200,1e-09,0.00021544346900318823,0.7953840239402465,1.0,0.6068072227034933,1.0,0.3735542476912912,1.0,0.8162913264333141,0.6659887092256047,0.4711779448621555
0.12,7.0,200,1e-09,0.1,0.7929927692180543,1.0,0.6099881712014912,1.0,0.39113143643535675,1.0,0.8149390613893657,0.657661603428658,0.472636815920398
0.12,7.0,200,4.6415888336127725e-07,1e-09,0.7929789846745967,1.0,0.605826011829223,1.0,0.389506998110297,1.0,0.8167212773703646,0.6650689500054292,0.4752475247524752
0.12,7.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.7929797872943476,1.0,0.605826011829223,1.0,0.389506998110297,1.0,0.8167212773703646,0.6650689500054292,0.4752475247524752
0.12,7.0,200,4.6415888336127725e-07,0.00021544346900318823,0.7953856291797482,1.0,0.6068072227034933,1.0,0.3735542476912912,1.0,0.8162913264333141,0.6659887092256047,0.4711779448621555
0.12,7.0,200,4.6415888336127725e-07,0.1,0.7929935718378052,1.0,0.6099881712014912,1.0,0.39113143643535675,1.0,0.8149390613893657,0.657661603428658,0.472636815920398
0.12,7.0,200,0.00021544346900318823,1e-09,0.7928559665955451,1.0,0.6098923811895776,1.0,0.3684539920362602,1.0,0.8160520795409234,0.662791450984042,0.46733668341708545
0.12,7.0,200,0.00021544346900318823,4.6415888336127725e-07,0.7928551451269564,1.0,0.6098923811895776,1.0,0.3684539920362602,1.0,0.81605554688719,0.662791450984042,0.46733668341708545
0.12,7.0,200,0.00021544346900318823,0.00021544346900318823,0.7915808126813887,1.0,0.6098898224180097,1.0,0.38059308809934816,0.9998396407953817,0.8158024306097329,0.6604592043900254,0.46153846153846156
0.12,7.0,200,0.00021544346900318823,0.1,0.7938697913940919,1.0,0.612529796940317,1.0,0.39782054214573287,1.0,0.8174736915102027,0.6634940448327872,0.4511278195488722
0.12,7.0,200,0.1,1e-09,0.7914638557598949,1.0,0.6078987217215854,1.0,0.3949970196559248,1.0,0.816651930445034,0.6593624280183478,0.4708860759493671
0.12,7.0,200,0.1,4.6415888336127725e-07,0.7914638557598949,1.0,0.6078987217215854,1.0,0.3949970196559248,1.0,0.816651930445034,0.6593624280183478,0.4708860759493671
0.12,7.0,200,0.1,0.00021544346900318823,0.7918992437138859,1.0,0.6103783353727918,1.0,0.395396405105143,1.0,0.816509769248106,0.6604519047136748,0.4556962025316456
0.12,7.0,200,0.1,0.1,0.7963549154139341,1.0,0.613187738195835,1.0,0.396400394492591,1.0,0.8154314245592137,0.6618972406310936,0.44670050761421315
0.12,7.0,250,1e-09,1e-09,0.7929956984541431,1.0,0.604466921139934,1.0,0.38105257390939595,1.0,0.815278861323486,0.6632933037331458,0.49140049140049147
