auc,prauc,AP,auc_01,f1,accuracy,precision,recall,trainset,model,encoding,weight
0.6385795112555677,0.28496793202520265,0.28794576721035225,0.5361223571749888,0.0,0.804006968641115,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6060267857142857,0.26006022497937725,0.26336348526571823,0.518576270221007,0.0,0.8048780487804879,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6470836558080632,0.30684574747034676,0.3094943815332097,0.5349081209320353,0.0,0.7970383275261324,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.641305370074297,0.2949818895648871,0.2985907807433694,0.5405356188711619,0.0,0.8109756097560976,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6080432172869148,0.24492694949893629,0.2485141640164963,0.5363427325817545,0.0,0.8292682926829268,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6465758770437671,0.28020021167373077,0.2841530127933475,0.5300296710276161,0.0,0.813588850174216,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.604060781400683,0.22670596718752342,0.22913279999482836,0.5082671100301382,0.0,0.823170731707317,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6662170500365912,0.3203615308276888,0.3238628391353907,0.5450866544167533,0.0,0.8022648083623694,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6111763857110465,0.2579235460983153,0.2606785639727238,0.530489385916092,0.0,0.8205574912891986,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6395914968652038,0.29987090047171894,0.302437404770738,0.5483727932684376,0.0,0.8083623693379791,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6243612911266202,0.2810538873560408,0.28456854788409,0.550837618722779,0.0,0.8222996515679443,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6535689808095468,0.303998032962267,0.30811545479647007,0.5441047284393858,0.0,0.8153310104529616,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6092146459154203,0.26652946215809215,0.26927193616373846,0.5364565267103126,0.0,0.8162020905923345,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6159523232043241,0.2642730396418766,0.2667934337992983,0.5260039499670837,0.0,0.8109756097560976,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6320442317116028,0.2694752230395743,0.2731825063948478,0.5272283824491412,0.0,0.8109756097560976,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.5983150826287176,0.25519951008462727,0.2578709453643097,0.5317773557243229,0.0,0.8196864111498258,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6254396645021646,0.2795456186345685,0.28333728329728175,0.5274255036943006,0.0,0.8048780487804879,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6326720637301813,0.2611970919207174,0.2638388450291233,0.5269270089586535,0.0,0.8214285714285714,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6191460153921948,0.30476520187517053,0.30706173923975877,0.5393116233451226,0.0,0.8022648083623694,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6311985970004838,0.2831686508402609,0.28597719360709056,0.5333360918018316,0.0,0.8153310104529616,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6231453025346155,0.30528548599258126,0.30790790946496627,0.5386528182257965,0.0,0.7987804878048781,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.5956254545632045,0.2662257364241304,0.2696945168833009,0.5294174166397557,0.0,0.8074912891986062,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6216346153846154,0.27042406928461443,0.27281804630039636,0.5345744680851063,0.0,0.818815331010453,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6378400168928646,0.30513221454143735,0.3078715516955032,0.5375174157150118,0.0,0.8031358885017421,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
0.6426484074677716,0.2999266172677441,0.3025537098784914,0.5319600587110038,0.0,0.8005226480836237,0.0,0.0,cedar_hp_rank_low,RF,onehot,KL
