auc,prauc,AP,auc_01,f1,accuracy,precision,recall,trainset,model,encoding,weight
0.6489983863951513,0.36016935961200036,0.3604085073539569,0.5313387677271968,0.0,0.7467102923394267,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6243931265321432,0.3553474064558274,0.3555751219682022,0.5196956009079984,0.0,0.7340545891670203,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6410345844219606,0.3567564373955784,0.35696118371716756,0.5216814383656185,0.0,0.7351630473226286,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6128027585460453,0.3464138584937676,0.34662910373927813,0.5186150385759002,0.0,0.7287234042553191,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6448986101281748,0.39618081994473486,0.39643959608268003,0.5303903705359175,0.0,0.712725209249539,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6286415866452361,0.3503889496483215,0.3507223851844905,0.5282598791236615,0.0,0.7430991881397812,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6384886293514742,0.36590066510699565,0.3661223929023638,0.5238099777566804,0.0,0.7305603201829617,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6627520801776151,0.406594400571611,0.4068205816757739,0.5418107100437031,0.0,0.72459039648202,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6187251514381494,0.3392186524695277,0.33947402024951795,0.5195145058171335,0.0,0.7379828326180258,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6323423511711579,0.368907915264596,0.36915743894624026,0.5185718957644101,0.0,0.7228643924443191,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6370517132965495,0.36099497842638417,0.36123227141651865,0.5303290815825095,0.0,0.7419036891016615,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6550476472227662,0.377773516664204,0.377992320645056,0.527363737055955,0.0,0.7311461440136344,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6353387018041811,0.34917937736076143,0.3493761652855951,0.5155872074792217,0.0,0.7338308457711443,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.634973121738993,0.3587467209579826,0.3590094868449569,0.5335366002193324,0.0,0.7438104723961297,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6591717088994464,0.3933770410764784,0.39358818467361223,0.5360184624316884,0.0,0.7291973361373992,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6471605531956123,0.3720759915013547,0.37230450693403316,0.519523529653009,0.0,0.7213220533409808,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6476028025437015,0.3991132475248248,0.3993292350461203,0.5275465886728014,0.0,0.7104285714285714,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
0.6198248458097283,0.35592849788194986,0.3561575398791329,0.5191255121321754,0.0,0.7238758258151595,0.0,0.0,cedar_hp_rank_low,RF,onehot,None
