auc,prauc,AP,auc_01,f1,accuracy,precision,recall,trainset,model,add_rank
0.6700248704116573,0.3800236625329051,0.3802860952008452,0.5393485758352422,0.0,0.7467102923394267,0.0,0.0,cedar_hp_rank_low,RF,False
0.637820265640337,0.36596634666349326,0.3662983876240916,0.5295436106457354,0.0,0.7340545891670203,0.0,0.0,cedar_hp_rank_low,RF,False
0.6570693744392387,0.3664678930185642,0.36670851555626227,0.5258027452947996,0.0,0.7351630473226286,0.0,0.0,cedar_hp_rank_low,RF,False
0.6251428255957739,0.35841808973006917,0.3586733949722475,0.522751628610341,0.0,0.7287234042553191,0.0,0.0,cedar_hp_rank_low,RF,False
0.6588087058661635,0.4053939736245158,0.40568384189728435,0.5325781279100086,0.0,0.712725209249539,0.0,0.0,cedar_hp_rank_low,RF,False
0.6380261399597965,0.35744601124130676,0.357679644541442,0.5313632973155175,0.0,0.7430991881397812,0.0,0.0,cedar_hp_rank_low,RF,False
0.6469786781202659,0.37168901498179807,0.3719443230963677,0.5261384066956618,0.0,0.7305603201829617,0.0,0.0,cedar_hp_rank_low,RF,False
0.6805728179638126,0.42966572557716615,0.42994204378162504,0.5526231777917303,0.0,0.72459039648202,0.0,0.0,cedar_hp_rank_low,RF,False
0.6377887840522327,0.35452977280308007,0.3547917648579002,0.5257392680144092,0.0,0.7379828326180258,0.0,0.0,cedar_hp_rank_low,RF,False
0.6425755243587159,0.3741798619681642,0.3744419280344491,0.5234637442733883,0.0,0.7228643924443191,0.0,0.0,cedar_hp_rank_low,RF,False
0.6504384102549607,0.36571269475714246,0.36595999305226895,0.5303429096594215,0.0,0.7419036891016615,0.0,0.0,cedar_hp_rank_low,RF,False
0.6653085058394093,0.3860365714687215,0.3863037773269189,0.5318159318492958,0.0,0.7311461440136344,0.0,0.0,cedar_hp_rank_low,RF,False
0.6491323960599604,0.3577717783944039,0.3579878626435017,0.5171698792817168,0.0,0.7338308457711443,0.0,0.0,cedar_hp_rank_low,RF,False
0.6593870319512447,0.3806384554824343,0.3809161642200123,0.5417256550731875,0.0,0.7438104723961297,0.0,0.0,cedar_hp_rank_low,RF,False
0.6715457331305342,0.4084714876855223,0.40871439823617733,0.5427656853167202,0.0,0.7291973361373992,0.0,0.0,cedar_hp_rank_low,RF,False
0.6536886505053928,0.380326000873957,0.38061173574406376,0.5241668504209007,0.0,0.7213220533409808,0.0,0.0,cedar_hp_rank_low,RF,False
0.6658352240728449,0.41717893779105364,0.4174490032380512,0.5335148649329597,0.0,0.7104285714285714,0.0,0.0,cedar_hp_rank_low,RF,False
0.6325880561586102,0.37435231345440567,0.3745773338879067,0.5292323861073679,0.0,0.7238758258151595,0.0,0.0,cedar_hp_rank_low,RF,False
0.6416959668672315,0.37120984755251235,0.37146902784256464,0.5256403724446006,0.0,0.7257195519637034,0.0,0.0,cedar_hp_rank_low,RF,False
0.6500733230235803,0.3731594724256694,0.37342583800047613,0.5244120562856741,0.0,0.7263276995969168,0.0,0.0,cedar_hp_rank_low,RF,False
0.663358402090811,0.3801091561543705,0.3803515301930305,0.5299786546977298,0.0,0.7344596058046351,0.0,0.0,cedar_hp_rank_low,RF,False
0.6616693815901159,0.3887809866391457,0.38904433279085615,0.5326976836302231,0.0,0.7295169184932965,0.0,0.0,cedar_hp_rank_low,RF,False
0.6578962894103535,0.3843569473760044,0.38460960726472715,0.5348834935946579,0.0,0.7322716560736985,0.0,0.0,cedar_hp_rank_low,RF,False
0.6524750923192899,0.3844374574852405,0.38467090703710705,0.5390570376027832,0.0,0.731953734671126,0.0,0.0,cedar_hp_rank_low,RF,False
0.6644112265379783,0.39508062095908403,0.3953024075891416,0.5378978865087272,0.0,0.7259852657177598,0.0,0.0,cedar_hp_rank_low,RF,False
0.6612315209015617,0.39917945107175007,0.3993800899204927,0.5280341214205269,0.0,0.7219654412287563,0.0,0.0,cedar_hp_rank_low,RF,False
0.6601494157803202,0.37967012727747945,0.37992636934633106,0.5315650661885022,0.0,0.7344664644897383,0.0,0.0,cedar_hp_rank_low,RF,False
0.6384630334160922,0.3472293885037343,0.3475472197580092,0.5196413524007851,0.0,0.7383053221288516,0.0,0.0,cedar_hp_rank_low,RF,False
0.6515348139369544,0.38230583573540916,0.3825573326652688,0.5223778561019496,0.0,0.718893683242555,0.0,0.0,cedar_hp_rank_low,RF,False
0.654016229647144,0.3660093358710516,0.36625595149831236,0.525149566730932,0.0,0.736229036558838,0.0,0.0,cedar_hp_rank_low,RF,False
0.6622594915472964,0.39015815438861234,0.39042558404153394,0.5406919195006487,0.0,0.7337025990626331,0.0,0.0,cedar_hp_rank_low,RF,False
0.6385560352655753,0.3630312428457978,0.36323856907693397,0.5155230011347659,0.0,0.7216193656093489,0.0,0.0,cedar_hp_rank_low,RF,False
0.6590242631513673,0.36991189563008997,0.37016699748876836,0.5348333155929018,0.0,0.7442462399440364,0.0,0.0,cedar_hp_rank_low,RF,False
0.6543146790969201,0.3803401502980036,0.3805717861841746,0.5314985287388633,0.0,0.7316934451869757,0.0,0.0,cedar_hp_rank_low,RF,False
